idx	x	y	z	Ex_ref	Ey_ref	Ez_ref	Ew_x	Ew_y	Ew_z

0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	-0.0016622715189364113	0.0	0.002742747106163061	-0.0	-0.0	177.31311468379116	-0.6188474500211555	-0.0	0.019293592776051742
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	-0.0016286902761296152	0.0	0.002742747106163061	-0.0	-0.0	177.31311468379116	-0.7775954673664319	-0.0	0.029504604685118428
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	-0.0015951090333228188	0.0	0.002742747106163061	-0.0	-0.0	177.31311468379116	-0.970541821766363	-0.0	0.043722338241349176
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	-0.0015615277905160227	0.0	0.002742747106163061	-0.0	-0.0	177.31311468379116	-1.2032393055014166	-0.0	0.06319522077044414
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	-0.0015279465477092266	0.0	0.002742747106163061	-0.0	-0.0	177.31311468379116	-1.4816743384036977	-0.0	0.08947359082318077
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	-0.0014943653049024304	0.0	0.002742747106163061	-0.0	-0.0	177.31311468379116	-1.812179153702012	-0.0	0.12445902053471901
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	-0.001460784062095634	0.0	0.002742747106163061	-0.0	-0.0	177.31311468379116	-2.201306341011918	-0.0	0.17045536511986228
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	-0.001427202819288838	0.0	0.002742747106163061	-0.0	-0.0	177.31311468379116	-2.6556618387716306	-0.0	0.23021969308000031
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	-0.0013936215764820418	0.0	0.002742747106163061	-0.0	-0.0	177.31311468379116	-3.1816937184677494	-0.0	0.3070107089422096
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	-0.0013600403336752457	0.0	0.002742747106163061	-0.0	-0.0	177.31311468379116	-3.7854358342225596	-0.0	0.40463172575341133
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	-0.0013264590908684494	0.0	0.002742747106163061	-0.0	-0.0	177.31311468379116	-4.4722076273569344	-0.0	0.5274647105591865
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	-0.0012928778480616532	0.0	0.002742747106163061	-0.0	-0.0	177.31311468379116	-5.24627404491929	-0.0	0.6804914538291289
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	-0.0012592966052548571	0.0	0.002742747106163061	-0.0	-0.0	177.31311468379116	-6.110472581294418	-0.0	0.8692975508122297
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	-0.0012257153624480608	0.0	0.002742747106163061	-0.0	-0.0	177.31311468379116	-7.065817765338745	-0.0	1.1000546810085217
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	-0.0011921341196412646	0.0	0.002742747106163061	-0.0	-0.0	177.31311468379116	-8.111096828722106	-0.0	1.3794766845213615
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	-0.0011585528768344685	0.0	0.002742747106163061	-0.0	-0.0	177.31311468379116	-9.242473598173406	-0.0	1.7147452116210002
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	-0.0011249716340276722	0.0	0.002742747106163061	-0.0	-0.0	177.31311468379116	-10.453120613518104	-0.0	2.1134013078461273
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	-0.001091390391220876	0.0	0.002742747106163061	-0.0	-0.0	177.31311468379116	-11.73290181955591	-0.0	2.5832002226277555
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	-0.00105780914841408	0.0	0.002742747106163061	-0.0	-0.0	177.31311468379116	-13.068129640505733	-0.0	3.1319280086344854
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	-0.0010242279056072836	0.0	0.002742747106163061	-0.0	-0.0	177.31311468379116	-14.441420561388465	-0.0	3.767180103601871
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	-0.0009906466628004876	0.0	0.002742747106163061	-0.0	-0.0	177.31311468379116	-15.831672287508855	-0.0	4.49610402211281
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	-0.0009570654199936913	0.0	0.002742747106163061	-0.0	-0.0	177.31311468379116	-17.21418296696417	-0.0	5.325110468931016
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	-0.0009234841771868952	0.0	0.002742747106163061	-0.0	-0.0	177.31311468379116	-18.560928760331542	-0.0	6.259559526241004
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	-0.0008899029343800989	0.0	0.002742747106163061	-0.0	-0.0	177.31311468379116	-19.84101024733454	-0.0	7.303430945297729
0	0.0	0.0	0.0032248049595676263	-0.0	-0.0	197.0593543242184	0.0	0.0	0.0
1	-0.0008563216915733027	0.0	0.002742747106163061	-0.0	-0.0	177.31311468379116	-21.021270910168745	-0.0	8.458989846183293
